work_id,mp_name,state,constituency,description,recommended_amount,has_images,completion_date,completion_delay_days,project_status
WK-101,Normal MP 1,Maharashtra,Constituency 1,Construction of a school building in village 1.,1042262.98,True,2026-07-26,3,COMPLETED
WK-102,Normal MP 2,Maharashtra,Constituency 2,Construction of a school building in village 2.,795127.97,True,2026-06-05,30,COMPLETED
WK-103,Normal MP 3,Maharashtra,Constituency 3,Construction of a school building in village 3.,814242.74,True,2026-08-10,29,COMPLETED
WK-104,Normal MP 4,Maharashtra,Constituency 4,Construction of a school building in village 4.,1893573.2,True,2026-08-29,9,COMPLETED
WK-105,Normal MP 5,Maharashtra,Constituency 5,Construction of a school building in village 5.,1883538.19,True,2026-07-20,19,COMPLETED
WK-ANOM-1,Suspicious MP A,Bihar,Const A,Road repair,95000000.0,False,2023-01-01,850,COMPLETED
WK-ANOM-2,Suspicious MP B,Uttar Pradesh,Const B,Water tank construction exactly matching another project,500000.0,True,invalid_date_format,-10,IN_PROGRESS
WK-ANOM-3,Suspicious MP B,Uttar Pradesh,Const B,Water tank construction exactly matching another project,500000.0,False,,400,SUBMITTED
WK-ANOM-4,Suspicious MP C,Karnataka,Const C,Bus shelter,7500000.0,False,2025-10-10,1500,IN_PROGRESS
WK-ANOM-5,Suspicious MP D,Gujarat,Const D,Community hall construction,8800000.0,True,2022-05-15,900,COMPLETED
